state,counts,Number,Quadrant,Quadrant State
001010001101010011100010001001111100101100000000110100010000011111010011111110000101101110110110101000010011001011000010001000111101000010101111001011100111000001111100010001101101101110011101,1,163,,Unknown
111100001111001111010001001101110001111001010001111000111100001110010100111001101001111111000011100101010000110111101011011000001100101011111011011100010101001101000011101001111110111011111110,1,963,,Unknown
000111000011000000110100010001001101001011001101110011011100001010111101010000011111111111010110001001001101011010001011110111110011010111010110100100111000100110000100101001000100000000010000,1,112,,Unknown
110101011000110000010001100100010000101110100001111010000101011011100101111011011011001011001010101100111100001000001110001111010011110000111001010111010010100110011111000101111011001100011011,1,854,,Unknown
010101110100111101111100110110010000000001001110111111100001001011100111111011001011100011011000011000010001010000110000100101111010101001010001111101011001101111111111010111111110001011110100,1,349,,Unknown
100100000100000001001011100001011001100101101001011000001001100100101010000010011010010101100011110011011111111001100100010001111011110011100111100000010010110110101001101111010110001011010100,1,577,,Unknown
000010010111101111001111001101101111010011101101010101000001001011000000100000001001011101110011000000010110011110010111101000001000110110011010000000111010111101001100101100000001010001001101,1,37,,Unknown
101110001001101111101011010101010000010001000100000011010100101000100110010001010111101011101000010010101000000000001101010101111000101111111100100111011111001110010111101010100010110001010011,1,738,,Unknown
000000001000100000100100111101001101101010110111010011011000100000000100001110011110011100111010010100001000111101011100000000011010001101100010001110001010110010111001001110000110100011111010,1,2,,Unknown
100000100001010001011000011000011101100101101001000111101000000101000110100011000011111101010011001110111000010111010001101100001110010001011101111011010110101001011110011111100010111000111110,1,520,,Unknown
110110001001111101110001001011100010101001000010011100010101010001111001111110111010011001111101001011001001001010011110100110011111011001111100100110111110111111110110101101110111000111010011,1,866,,Unknown
110101111110100000001011111010111100111110100001100011101100011011110101000111101101111001110111011101110010000111001101110010111101111101110110101010001000101101011000011100110111001111000111,1,863,,Unknown
111011000010000001100100100001001111010010101110111011011110000111000010101010000110010010100101101010010010110000110000000011010011000011001011100111001000001111011110111000111001110100011011,1,944,,Unknown
011110011111010011111111000000011110011101011100000011100100010100010110011011111111111100000011101110000001100101010110000000101110011011100001000111001101001101001011101010000110100110010000,1,487,,Unknown
010111000010110101100000001100001011100001110001111001100111110001011001000010011011100100010110001000110011101110011000111111010111110101000100111111101110001101110011001100101110110010101100,1,368,,Unknown
011001000001110110101010101101000011100001101101010000111101010110100101110100111001010101110000100010011000100000100011100101000110111101111000011010111100001000110100001010000111001110000010,1,400,,Unknown
100111100110011010101111101100011010100100101000011111100100011001000010100100010100000111001111001110010100000011111100111100011010000111110000010001101101011101010111000110001001011001100110,1,633,,Unknown
001000101100011111110110011101011101101001000011000100011101001100100111001100100010010111101011101011110111111001001110111101001001110010100111001000101100000100111100101111110011110000000011,1,139,,Unknown
001001001101100011110111010111000001111110110011110111111110100111010000001100010100010000111000111101001100011010110010100000010110001001111110011101100110100100011110101110100101000100101100,1,147,,Unknown
111010110111011101110110000001111110000111100101110100000010000010011100111111000110000110100011010001001111101010100110000110010010111000000001000101110101110010100010010101010110100001101000,1,941,,Unknown
001110010111110110011111110000000000011100101110011101001000100001100011001110110111100001111110001011111111101010100101011001001000110101101101100000011100011100100100000100110100101110010001,1,229,,Unknown
100101000000100000111001000101100011010100011001101010011011010011101001011101111100100001011001011110011001110000010000011000001011100110110010001101101100111001001111000011000011100011111100,1,592,,Unknown
111010100010011011000011101011110001111111011101011000001100010011110001110011000000001001111100000110110010111000100111000101010111001101000001000111101011011101011001001101000111111011101011,1,936,,Unknown
100111100000100000010001001000111100000100101101100111010000011011111010101101001110101100010100010001001000101011011011011001000000111001000110111101001111011001101111110001111010100001000101,1,632,,Unknown
001001111010101000101010011000110010011101111000110100011110101101110000010111111000011000111111100101010100010011000101000000110111011101001000001010111100000101101110011101011100001110000101,1,158,,Unknown
111100010001001111101100000101100101010110110101011001000111000111000011011111001001100101010001001011001000011001001100010110001101111000010101101101101001001101001011101001111001001111000111,1,964,,Unknown
101011011110011010100101010000011100110011000111111010010100111100001111001101111000001111000000100000111010100011001000111010011010000110000110111110101010010010110100001011010111101001100111,1,695,,Unknown
111010010001011111100101110000111000000000000110111100010010000100001010001011110000001001000111101000100010000111011001111001011000111101000011000001001111001001110010001111001101000000100110,1,932,,Unknown
101100110100011011110010001001001000101101001011101010011101100001111111001111100010001000001100111111110101110110001101110101010111111101000101110111100100101111001000011110110011101101001001,1,717,,Unknown
001000010101111011000001111011111110100010100111011001010111000101111001101011001010101011101000100111100101001001110101111100101001000010000001011100000001111011111111100010001110010011100111,1,133,,Unknown
111100111100010010100001110110001101110110010011100101011000100011101100010000100000011000100101111111111010101100111010111001011100100010010000001101100011010110001111111010101001101010110100,1,975,,Unknown
011111110100100101110011010010011100111110100001011001110100000011110000011011001101011100000101011001111000110010110000011110110111111100111101011110000011011010011101011101000101000010010100,1,509,,Unknown
000011100101001000100000100011110100000101101011110100110010000100011000000101001111000101010011100111111011011100010000001011001110000101010000001001100101100000111111010110000001011011100010,1,57,,Unknown
101100010111011101010100101111011001110101101000000010101001111100001011100011010110000100101001000001111101001100001111110001101101110001100110110001111111111010111110010110100111111101011010,1,709,,Unknown
100100100001100000000011110000001100000110101101100000101011010010001110110011000000101010010111110001111011000101001010110111100000011001101010010100011110101001110010111010001111110001001000,1,584,,Unknown
110011001011101100110100111111010001001111001110000101011100010001111011111110001100010111000011100011000100000111000001101000101000010010000001000111111111100110000110100010100001110101011001,1,818,,Unknown
010101001111011001010010000010100011011010010001101001110011111101001000001100010010101000110001111100010000000000100111110000111010111011100111110111000111111101110010010010001101010111101010,1,339,,Unknown
111001100010110101110011001010011110100010000001000110100011011011100110111001101001010111011110100000001111100110100011101000000100011010010100101111100100010111101111111010001010001100000101,1,920,,Unknown
101110010101010000000101111000100000001001010101100000010100001101011011111111000100111110011000111011001000011111010001100001001110101111010001100101110100111001110001000101101101100110001010,1,741,,Unknown
101001101101001111101111000110010010111011000101000110100001001010110010101010110000100010011000100110111000110100011001001010111110011100100110000100101011010000011100001111011010000101010101,1,667,,Unknown
010111111101111101000101101100001010101110000011111011011110001001011110111001001011011101101000000110000111101101100011111000111101100010111010111001110110100100110010001000111101000101011010,1,383,,Unknown
100001011101101110010010000110101001001000000001000100010100000101001010101111111010010100011010100001100001100111100010101100000001110001111110101000111000101110101010000100111010001111000011,1,535,,Unknown
010011011101100001100001110010000001011011111110110100000101100110011011011100001000110111010101010011100110001111101110100100110010110100001110000110011111110100010110011100000101011100011000,1,311,,Unknown
100001000001100110000111001110101110110010011011011111000010101011101010100000001100100110100000000100010010100000011010011011011010100111001101110010111011011111110111111011011010110001010011,1,528,,Unknown
010110111000100010100000111110011010111111110001101001000011000000101111000010011101001001001000011110010001101110100110001110000110100111000011011101001101011000011000011011010101011010101001,1,366,,Unknown
001000000011111000110110111000001001000001010101001101101100000001111011001110100010011111101111111010000000100001110011100001101000110110010000101101111101110101100000101101110000000110000101,1,128,,Unknown
011100100110100101001110000111001000000100000110001100110000111101100011011101100011111010000010101100011111010000110111010101011111001101100001111110000110110110000100011100100010011010111011,1,457,,Unknown
101001100001010011001101010001110111001000000111001001001000000111010010100110100101011100100101101100100001100010110111001110000111101000100101111001010100111100101110010111101110100101001011,1,664,,Unknown
111000100111111000111001011101110110000111111111101110111010000110001010011011101100011101010111110100101101100100011010101100110110011011111111110010011010100011110101001101011110010000110100,1,905,,Unknown
011001000011001011111101111000001101100100110011100000001010000110000111101110101011100111100010000010101010101010101000011011010001011111011111010010110110100011111111100101100110101111111111,1,400,,Unknown
011110011110010010010001111111101101010010001101010101010100101010010110000110110000101001100111111111000000010100100000010010011101000111000100011011011010001001110001001110011111000111010111,1,487,,Unknown
101001010110101110000001011100111011100111011111101110010000000010001111101101011010110011110101111011100100010000110100000001101100111110101000001010101010100001101101100101111111011101100101,1,661,,Unknown
011000011010100111100110001101000110000000001011010110001110100101111111111010011011100101011100101100101010001010010101110111110000010100010111100011101110000000011011101110011000111111011001,1,390,,Unknown
